name,version,ecosystem,vendor
php-embedded,5.6.25,,
php-httpd,5.6.25,,
php-pecl-jsonc,1.3.6,,
pinentry,0.8.1,,
popt,1.13,,
procps-ng,3.3.10,,
psmisc,22.2,,
psutil,3.2.1,PyPI,
py-oauth2client,4.0.0,,
py-requests,2.13.0,PyPI,
python2-google-api-client,1.6.2,,
python2-rsa,3.4.2,,
python2-s3transfer,0.1.10,PyPI,
python-backports,1,,
python-backports-,3.4.0.2,,
python-bloom,0.1.12,,
python-bson,3.0.3,,
python-collectd-cloudwatch,0.0.1,,
pythonfutures,3.1.1,,
python-ipaddr,2.1.11,,
python-pillow,2.0.0,PyPI,
python-pyasn1,0.1.7,PyPI,
python-pyasn1-modules,0.1.7,PyPI,
python-reportlab,2.5,PyPI,
python-urlgrabber,3.1,,
rcs,5.9.0,,
redis,5.0.0,,
rpm-libs,4.11.3,,
sed,4.2.2,,
setup,2.8.71-6.el7,,
setuptools,0.9.8,PyPI,
sscep,1.0.0,,
sshpass,1.05,,
sysklogd,1.4.1,,
syslog-ng-incubator,3.29.1,,
syslog-ng-python,3.29.1,,
sysstat,10.1.5,,
tcpdump,4.5.1,,
traceroute,2.0.19,,
typing,3.6.2,,
uritemplate,3.0.0,PyPI,
util-linux,2.23.2,,
util-linux-extras,2.23.2,,
vim-minimal,7.4.629,,
virt-what,1.13,,
wpaeapol,2.6.5,,
xdelta,3.0.7,,
xe-guest-utilities,7.19.0,,
xe-guest-utilities-xenstore,6.1.0,,
xmltodict,0.9.0,,
zlib,1.2.7,Debian,
attr-lib,2.4.46,,
grub,0.97,,
initscripts,8.45.14.EL,,
libcomerr2,1.42.9,,
nss-softokn,3.44.0,,
nss-softokn-freebl,3.44.0,,
nss-tools,3.44.0,,
nss-utils,3.44.0,,
python-crypto,2.6.1,,
python-cryptography,1.7.1,,
syslog-ng,3.9.1,,
syslog-ng-incubator,3.9.1,,
syslog-ng-python,3.9.1,,
vim-minimal,7.4.160,,
xe-guest-utilities,6.1.0,,
gridstack,0.3.0-dev,npm,epelc
base-files,8,,
binutils,2.23,,
boto3,1.4.1,PyPI,
bsdutils,2.30.2,,
ci-node-server,0.0.6,,
cracklib2,2.8.16,,
cyrus-sasl,2.1.26,,
devtoolset-3-binutils,2.24,,
dhcp-doc,4.3.4,,
diff,3.3,,
elfutils,0.163,,
es5-shim,4.0.3,,
firepad,0.1.4,,
global-store,0.7.1,,
google-api-python-client,1.5.4,,
google-api-python-client-,1.6.2,,
graphael,1.1.0,,
grr-client-templates,3.1.0.2,,
hwdata-pnp,0.282,,
ie10-viewport-bug-,1.0.0,,
jmespath.py,0.9.0,PyPI,
jspdf-autotable,2.3.0,,
jspm-resolve,1.0.6,,
libgssglue1,0.1,,
libguestfs,1.16.19,,
libidn,1.28,,
libjpeg,1.2.90,,
libpth-dbg,2.0.7,,
mpc,1.0.1,,
mumble-django,2.5,PyPI,
nss-softokn,3.19.1,,
nss-softokn-freebl,3.19.1,,
nss-tools,3.19.1,,
nss-utils,3.19.1,,
object-assign-shim,1.0.0,,
openwsman,2.3.6,,
php-fpdf,1.53.dfsg,,
php-mongodb,1.1.2,,
pinentry-gtk2,0.8.1,,
prismic.io,1.1.4,,
py-boto3,1.4.0,PyPI,
py-dateutil,2.5.3,,
py-jmespath,0.9.0,PyPI,
py-uritemplate,3.0.0,PyPI,
py-urlgrabber-doc,3.10.1,,
python-s3transfer,0.1.10,PyPI,
python-pcs,0.6+debian,,
python-urwid,0.9.8.3,,
redis,3.2.4,,
rsa-legacypython,3.4.2,,
smart_proxy_dhcp_remote_isc,0.0.2.1,,
socket.io-browserify,0.9.11,,
sphinx_rtd_theme,0.4.1,,
uritemplate-py,3.0.0,PyPI,
usbutils,7,,
when,3.7.3,,
myproxy-libs,6.1.29,,
acpid,1.0.10,,
basesystem,8,,
bash,3.1,,
beecrypt,4.1.2,,
bind-libs,9.3.3,,
bind-utils,9.3.3,,
binutils,2.23.51.0.3,,
bzip2,1.0.3,,
bzip2-libs,1.0.3,,
chkconfig,1.3.30.1,,
coreutils,5.97,,
cpio,2.6,,
cpp,4.1.1,,
cracklib,2.8.9,,
cracklib-dicts,2.8.9,,
crontabs,1.1,,
curl,7.20.1,Debian,
dhclient,3.0.5,,
dhcp,3.0.5,,
diffutils,2.8.1,,
dmidecode,2.11,,
dpdk,2.2,,
drng_samples,1,,
e2fsprogs,1.39,,
e2fsprogs-libs,1.39,,
e4fsprogs,1.41.12,,
e4fsprogs-libs,1.41.12,,
elfutils-libelf,0.128,,
expat,1.95.8,,
file,5.04,,
file-libs,5.04,,
filesystem,2.4.0,,
findutils,4.2.27,,
fipscheck,1.2.0,,
fipscheck-lib,1.2.0,,
flashrom,0.9.4,,
fontconfig,2.4.1,,
freetype,2.3.11,,
gawk,3.1.5,,
glib,2.12.9,,
glib2,2.42.2,,
glibc,2.16,Debian,
glibc-common,2.16,Debian,
gmp,4.3.1,,
gnupg,1.4.5,,
gperftools,2.2,,
grep,2.5.1,,
gzip,1.3.5,,
inetutils,1.5,,
info,4.8,,
iproute,2.6.18,,
iptables,1.3.5,,
iptables-ipv6,1.3.5,,
iputils,20020927,,
irqbalance,1.13,,
keyutils-libs,1.2,,
less,394,,
leveldb,1.15.0,,
libacl,2.2.39,,
libattr,2.4.32,,
libcurl4,7.20.1,,
libevent,2.0.19,,
libgcc,4.7.0,,
libgethostbyname,1,,
libgssapi,0.1,,
liblog4shib1,1.09,,
libpcap,0.9.4,,
libpng,1.2.44,,
libresolv,1,,
libsepol,1.15.2,,
libssp,4.7.2,,
libstdc++,4.7.0,,
libsysfs,2.0.0,,
libtermcap,2.0.8,,
libuser,0.54.7,,
libxerces-c-3_1,3.1.2,,
libxml2,2.9.4,Debian,
libxmltooling6,1.5.6,,
lm_sensors,2.10.7,,
lockdev,1.0.1,,
logrotate,3.7.4,,
lunasa,1,,
mailx,8.1.1,,
mdadm,2.6.9,,
minicom,2.1,,
mktemp,1.5,,
mmc-utils,1.0,,
mongodb,2.6.11,,
ncurses,5.5,,
net-tools,1.6,,
nfs-utils,1.0.9,,
nfs-utils-lib,1.0.8,,
ntp,4.2.8p6,,
ntp-dp,4.2.8p6,,
ntpdate,4.2.8p6,,
open-vm-tools,9.4.6,,
openldap,2.4.23,,
openldap-clients,2.4.23,,
